@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
864,'2019/10/24 11:54:59:620',3,465,137,1,0
865,'2019/10/24 11:54:59:654',3,465,137,1,0
866,'2019/10/24 11:54:59:689',3,465,137,1,0
867,'2019/10/24 11:54:59:726',3,465,137,1,0
868,'2019/10/24 11:54:59:762',3,465,137,1,0
869,'2019/10/24 11:54:59:796',3,466,138,1,0
870,'2019/10/24 11:54:59:829',3,466,138,1,0
871,'2019/10/24 11:54:59:863',3,466,138,1,0
872,'2019/10/24 11:54:59:897',3,466,138,1,0
873,'2019/10/24 11:54:59:931',3,466,138,1,0
874,'2019/10/24 11:54:59:964',3,466,138,1,0
875,'2019/10/24 11:54:59:998',3,466,138,1,0
876,'2019/10/24 11:55:00:033',3,466,138,1,0
877,'2019/10/24 11:55:00:067',3,466,138,1,0
878,'2019/10/24 11:55:00:101',3,466,138,1,0
879,'2019/10/24 11:55:00:136',3,466,138,1,0
880,'2019/10/24 11:55:00:169',3,466,138,1,0
881,'2019/10/24 11:55:00:203',3,466,138,1,0
882,'2019/10/24 11:55:00:237',3,466,138,1,0
883,'2019/10/24 11:55:00:271',3,466,138,1,0
884,'2019/10/24 11:55:00:305',3,466,138,1,0
885,'2019/10/24 11:55:00:340',3,466,138,1,0
886,'2019/10/24 11:55:00:372',3,466,138,1,0
887,'2019/10/24 11:55:00:405',3,466,138,1,0
888,'2019/10/24 11:55:00:439',3,466,138,1,0
889,'2019/10/24 11:55:00:477',3,466,138,1,0
890,'2019/10/24 11:55:00:510',3,466,138,1,0
891,'2019/10/24 11:55:00:546',3,466,138,1,0
892,'2019/10/24 11:55:00:580',3,466,138,1,0
893,'2019/10/24 11:55:00:614',3,466,138,1,0
894,'2019/10/24 11:55:00:648',3,466,138,1,0
895,'2019/10/24 11:55:00:681',3,466,138,1,0
896,'2019/10/24 11:55:00:715',3,466,138,1,0
